Country (Name),ASFIS species (Name),FAO major fishing area (Name),Unit (Name),[1950],S,[1951],S,[1952],S,[1953],S,[1954],S,[1955],S,[1956],S,[1957],S,[1958],S,[1959],S,[1960],S,[1961],S,[1962],S,[1963],S,[1964],S,[1965],S,[1966],S,[1967],S,[1968],S,[1969],S,[1970],S,[1971],S,[1972],S,[1973],S,[1974],S,[1975],S,[1976],S,[1977],S,[1978],S,[1979],S,[1980],S,[1981],S,[1982],S,[1983],S,[1984],S,[1985],S,[1986],S,[1987],S,[1988],S,[1989],S,[1990],S,[1991],S,[1992],S,[1993],S,[1994],S,[1995],S,[1996],S,[1997],S,[1998],S,[1999],S,[2000],S,[2001],S,[2002],S,[2003],S,[2004],S,[2005],S,[2006],S,[2007],S,[2008],S,[2009],S,[2010],S,[2011],S,[2012],S,[2013],S,[2014],S,[2015],S,[2016],S,[2017],S,[2018],S
American Samoa,Blue shark,All,Tonnes - live weight,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,1,,1,,1,,1,,2,,5,,0,.,0,.,0,.,0,.,0,.,0,.,0,-
American Samoa,Mako sharks,All,Tonnes - live weight,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,1,,0,-,0,-,0,-,3,,8,,8,,4,,2,,4,,9,,5,,5,
American Samoa,Thresher sharks nei,All,Tonnes - live weight,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,4,,4,,0,-,1,,1,,0,-,1,,1,
Belize,Blue shark,All,Tonnes - live weight,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,37,,273,,0,.,246,,113,,114,,735,,1294,,1388,,1452,,572,,109,,173,,401,,539,
Benin,Blue shark,All,Tonnes - live weight,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,6,,4,,27,,0,.,0,.,0,.,9,,7,,6,,6,,5,,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.
Benin,"Hammerhead sharks, etc. nei",All,Tonnes - live weight,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,9,,0,.,0,.,0,.,15,,15,,12,,12,,10,,0,.,268,,153,,51,,268,,131,,118,,901,,845,,2,,1041,
Brazil,Blue shark,All,Tonnes - live weight,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,150,F,800,F,0,.,0,.,743,,1103,,0,.,179,,1689,,2173,,1971,,2168,,1669,,2523,,2591,,2318,,2000,,1274,,1500,,1980,,1607,,2013,,2551,,2420,,1334,,2177,,3011,
Brazil,Oceanic whitetip shark,All,Tonnes - live weight,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,638,,534,,203,,174,,187,,78,,76,,14,,240,,0,.,0,.,0,0,0,0,7,,6,,1,,1,,1,,0,.
Brazil,Silky shark,All,Tonnes - live weight,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,502,,279,,0,.,70,,80,,0,.,328,,307,,286,,20,,0,0,0,.,0,.,0,.,0,.,0,.,21,,14,,16,,0,.,0,.,0,.,0,.
Canada,Blue shark,All,Tonnes - live weight,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,12,,11,,21,,54,,624,,581,,836,,346,,965,,1134,,977,,843,,0,.,0,.,0,-,0,.,1,,0,-,1,,6,,16,,32,,71,
Channel Islands,Blue shark,All,Tonnes - live weight,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,1,,0,0,0,-,0,-,0,-,0,-,1,,0,-,0,-,0,-,1,,0,0,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-
Chile,Blue shark,All,Tonnes - live weight,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,24,,33,,88,,141,,131,,4,,212,,175,,237,,33,,39,,11,,114,,10,,7,,262,,445,,605,,448,,420,,387,,468,,474,,197,,268,,850,,209,,228,,230,,282,,239,,183,,101,,83,
China,Blue shark,All,Tonnes - live weight,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,750,,420,,600,,0,.,0,.,0,.,1064,,2019,,1576,,846,,1241,,1777,,1462,,572,,1017,,814,,465,,3445,
China,Oceanic whitetip shark,All,Tonnes - live weight,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,818,,719,,34,,8,,0,-,0,-,86,,0,.,0,.,338,
Colombia,Blue shark,All,Tonnes - live weight,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,3,,1,,0,0
Colombia,"Hammerhead sharks, etc. nei",All,Tonnes - live weight,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,8,,24,,6,
Colombia,Silky shark,All,Tonnes - live weight,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,11,,3,,3,
Congo,"Hammerhead sharks, etc. nei",All,Tonnes - live weight,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,500,F,700,F,550,F,432,,538,,1059,,594,,375,,513,,302,,401,,731,,445,,492,,659,,275,,539,,471,,626,
Cook Islands,Mako sharks,All,Tonnes - live weight,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,0,0,.,0,.,2,,0,0
Cook Islands,Silky shark,All,Tonnes - live weight,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,18,,17,,5,,0,0,0,.,1,,1,,3,
Cook Islands,Thresher sharks nei,All,Tonnes - live weight,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,1,,1,,1,,0,0,0,.,0,.,0,.,0,-
Costa Rica,Silky shark,All,Tonnes - live weight,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,836,,1016,,1504,,1620,,1546,,1595,,2121,,2179,,1741,,1090,,1523,,1314,,876,,866,,682,,1033,,1431,,1084,,2070,,899,,698,,1458,,1239,,1239,F,2279,,2279,F,2279,F
Curaçao,Blue shark,All,Tonnes - live weight,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,2,,0,.
Cyprus,Blue shark,All,Tonnes - live weight,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,1,,0,0,0,0
Côte d'Ivoire,Blue shark,All,Tonnes - live weight,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,-,0,-,0,.,0,-,0,-,0,-,92,,16,,9,,8,,247,
Côte d'Ivoire,"Hammerhead sharks, etc. nei",All,Tonnes - live weight,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,33,,69,,75,,76,,75,,66,,190,,125,,43,,34,,49,,48,,71,,32,,32,,57,,40,,8,,78,,9,,12,,10,,12,,12,,13,,12,,8,,15,
Denmark,Blue shark,All,Tonnes - live weight,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,8,,2,,4,,3,,3,,4,,2,,2,,1,,2,,2,,1,,1,,0,0,1,,2,,3,,1,,1,,1,,2,,1,,13,,6,,1,,0,0,1,,1,,0,-,0,-,0,-,0,-,0,0,0,-,0,0,0,-,0,-,0,-,0,-
Ecuador,Blue shark,All,Tonnes - live weight,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,496,,646,,832,,0,.,0,.,0,.,0,.,1895,,2532,,1718,,2281,,2382,,2307,
Ecuador,Giant manta,All,Tonnes - live weight,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,5,,10,,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.
Ecuador,"Hammerhead sharks, etc. nei",All,Tonnes - live weight,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,344,,221,,913,,242,,201,,257,,206,,146,,66,,51,,66,,56,,76,,149,,98,,108,,47,,30,,96,,304,,0,.,0,.,0,.,3,,0,-,0,-,0,0,0,.
Ecuador,Oceanic whitetip shark,All,Tonnes - live weight,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,3,,4,,4,,10,,6,,0,.
Ecuador,Silky shark,All,Tonnes - live weight,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,373,,500,,0,.,0,.,0,.,0,.,524,,613,,432,,687,,525,,439,
Ecuador,Thresher sharks nei,All,Tonnes - live weight,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,1348,,1058,,1728,,1659,,1113,,510,,126,,586,,390,,519,,599,,454,,714,,487,,675,,893,,304,,0,-,1766,,3358,,0,.,0,.,3,,4,,0,.,1,,0,0,0,.
Fiji,"Hammerhead sharks, etc. nei",All,Tonnes - live weight,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,13,,44,,31,,0,-,0,-,0,-,1,,1,
Fiji,Oceanic whitetip shark,All,Tonnes - live weight,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,92,,92,,92,,1,,0,-,14,,10,,14,
Fiji,Silky shark,All,Tonnes - live weight,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,250,,309,,221,,1,,0,-,101,,105,,22,
Fiji,Thresher sharks nei,All,Tonnes - live weight,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,3,,5,,3,,0,-,0,-,0,-,0,-,1,
