Country ,iattc_proposed,iattc_supported,iattc_opposed,wcpfc_proposed,wcpfc_supported,wcpfc_opposed,iotc_proposed,iotc_supported,iotc_opposed,iccat_proposed,iccat_supported,iccat_opposed
Australia,,,,3,8,,8,,1,,,
Belize,3,,,,,,,,,,,
Canada,,,,,2,,,,,,,
China,,,1,,2,3,,,5,,,
Chinese Taipei/Taiwan,,,1,,2,3,,,,,,
Colombia,4,,1,,,,,,,,,
Costa Rica,6,,,,,,,,,,,
Ecuador,,,,,,,,,,,,
El Salvador,3,,,,,,,,,,,
European Union,14,,2,6,6,,17,,,,,
FFA,,,,8,8,,,,,,,
Fiji,,,,,1,,,,,,,
France,,,,,,,1,,,,,
French Polynesia,,,,,3,,,,,,,
Guatemala,3,,,,,,,,,,,
Indonesia,,,,,1,1,,,,,,
Japan,2,,3,3,,8,,,6,,,
Kiribati,,,,,,1,,,,,,
Korea,,,1,,1,2,,,4,,,
Mexico,1,,1,,1,,,,,,,
Micronesia,,,,,1,,,,,,,
New Caledonia,,,,,1,,,,,,,
New Zealand,,,,,3,,,,,,,
Nigaragua,3,,1,,,,,,,,,
Palau,,,,3,1,,,,,,,
Panama,3,,,,,,,,,,,
Papua New Guinea,,,,,3,1,,,,,,
Peru,,,,,,,,,,,,
Philippines,,,,,1,,,,,,,
PNA,,,,,2,,,,,,,
Samoa,,,,,1,,,,,,,
Tonga,,,,1,,,,,,,,
Tuvalu,,,,,1,,,,,,,
USA,3,,,4,6,1,,,,,,
Vanuatu,,,,,,,,,,,,
Venezuela,,,,,,,,,,,,
Maldives,,,,,,,4,1,,,,
South Africa,,,,,,,1,,,,,
Seychelles,,,,,,,2,,,,,
India,,,,,,,,,1,,,