"Species","CMSyear","CITESyear","CountryName","ConsValue"
"Rhincodon typus",1999,2002,"Philippines",1
"Isurus spp.",2008,NA,"Croatia ",1
"Lamna nasus",2008,NA,"European Union",1
"Manta birostris",2011,NA,"Ecuador",1
"Alopias spp.",2014,2016,"European Union",1
"Carcharhinus falciformis",2014,2016,"Egypt",1
"Manta alfredi",2014,NA,"Fiji",1
"Mobula spp.",2014,2016,"Fiji",1
"Sphyrna spp.",2014,2013,"Costa Rica",1
"Sphyrna spp.",2014,2013,"Ecuador",1
"Prionace glauca",2017,NA,"Samoa",1
"Prionace glauca",2017,NA,"Sri Lanka",1
"Rhincodon typus",2017,NA,"Israel",1
"Rhincodon typus",2017,2002,"Philippines",1
"Rhincodon typus",2017,NA,"Sri Lanka",1
"Sphyrna zygaena",2020,NA,"Brazil",1
"Sphyrna zygaena",2020,NA,"European Union",1
"Carcharhinus longimanus",2020,2013,"Brazil",1
"Rhincodon typus",NA,2002,"India",1
"Carcharhinus longimanus",NA,2013,"Colombia",1
"Carcharhinus longimanus",NA,2013,"United States",1
"Sphyrna spp.",NA,2013,"Brazil",1
"Sphyrna spp.",NA,2013,"Colombia",1
"Sphyrna spp.",NA,2013,"European Union",1
"Sphyrna spp.",NA,2013,"Honduras",1
"Sphyrna spp.",NA,2013,"Mexico",1
"Lamna nasus",NA,2013,"Brazil",1
"Lamna nasus",NA,2013,"Comoros",1
"Lamna nasus",NA,2013,"Croatia ",1
"Lamna nasus",NA,2013,"Denmark",1
"Lamna nasus",NA,2013,"Egypt",1
"Manta spp.",NA,2013,"Brazil",1
"Manta spp.",NA,2013,"Colombia",1
"Manta spp.",NA,2013,"Ecuador",1
"Carcharhinus falciformis",NA,2016,"Bahamas",1
"Carcharhinus falciformis",NA,2016,"Bangladesh",1
"Carcharhinus falciformis",NA,2016,"Benin",1
"Carcharhinus falciformis",NA,2016,"Brazil",1
"Carcharhinus falciformis",NA,2016,"Burkina Faso",1
"Carcharhinus falciformis",NA,2016,"Comoros",1
"Carcharhinus falciformis",NA,2016,"Dominican Republic",1
"Carcharhinus falciformis",NA,2016,"European Union",1
"Carcharhinus falciformis",NA,2016,"Fiji",1
"Carcharhinus falciformis",NA,2016,"Gabon",1
"Carcharhinus falciformis",NA,2016,"Ghana",1
"Carcharhinus falciformis",NA,2016,"Guinea",1
"Carcharhinus falciformis",NA,2016,"Guinea-bissau",1
"Carcharhinus falciformis",NA,2016,"Maldives",1
"Carcharhinus falciformis",NA,2016,"Mauritania",1
"Carcharhinus falciformis",NA,2016,"Palau",1
"Carcharhinus falciformis",NA,2016,"Panama",1
"Carcharhinus falciformis",NA,2016,"Samoa",1
"Carcharhinus falciformis",NA,2016,"Senegal",1
"Carcharhinus falciformis",NA,2016,"Sri Lanka",1
"Carcharhinus falciformis",NA,2016,"Ukraine",1
"Alopias spp.",NA,2016,"Bahamas",1
"Alopias spp.",NA,2016,"Bangladesh",1
"Alopias spp.",NA,2016,"Benin",1
"Alopias spp.",NA,2016,"Brazil",1
"Alopias spp.",NA,2016,"Burkina Faso",1
"Alopias spp.",NA,2016,"Comoros",1
"Alopias spp.",NA,2016,"Dominican Republic",1
"Alopias spp.",NA,2016,"Egypt",1
"Alopias spp.",NA,2016,"Fiji",1
"Alopias spp.",NA,2016,"Gabon",1
"Alopias spp.",NA,2016,"Ghana",1
"Alopias spp.",NA,2016,"Guinea",1
"Alopias spp.",NA,2016,"Guinea-bissau",1
"Alopias spp.",NA,2016,"Kenya",1
"Alopias spp.",NA,2016,"Maldives",1
"Alopias spp.",NA,2016,"Mauritania",1
"Alopias spp.",NA,2016,"Palau",1
"Alopias spp.",NA,2016,"Panama",1
"Alopias spp.",NA,2016,"Samoa",1
"Alopias spp.",NA,2016,"Senegal",1
"Alopias spp.",NA,2016,"Seychelles",1
"Alopias spp.",NA,2016,"Sri Lanka",1
"Alopias spp.",NA,2016,"Ukraine",1
"Mobula spp.",NA,2016,"Bahamas",1
"Mobula spp.",NA,2016,"Bangladesh",1
"Mobula spp.",NA,2016,"Benin",1
"Mobula spp.",NA,2016,"Brazil",1
"Mobula spp.",NA,2016,"Burkina Faso",1
"Mobula spp.",NA,2016,"Comoros",1
"Mobula spp.",NA,2016,"Costa Rica",1
"Mobula spp.",NA,2016,"Ecuador",1
"Mobula spp.",NA,2016,"Egypt",1
"Mobula spp.",NA,2016,"European Union",1
"Mobula spp.",NA,2016,"Ghana",1
"Mobula spp.",NA,2016,"Guinea",1
"Mobula spp.",NA,2016,"Guinea-bissau",1
"Mobula spp.",NA,2016,"Maldives",1
"Mobula spp.",NA,2016,"Mauritania",1
"Mobula spp.",NA,2016,"Palau",1
"Mobula spp.",NA,2016,"Panama",1
"Mobula spp.",NA,2016,"Samoa",1
"Mobula spp.",NA,2016,"Senegal",1
"Mobula spp.",NA,2016,"Seychelles",1
"Mobula spp.",NA,2016,"Sri Lanka",1
"Mobula spp.",NA,2016,"United States",1
"Isurus spp.",NA,2018,"Bangladesh",1
"Isurus spp.",NA,2018,"Benin",1
"Isurus spp.",NA,2018,"Bhutan",1
"Isurus spp.",NA,2018,"Brazil",1
"Isurus spp.",NA,2018,"Burkina Faso",1
"Isurus spp.",NA,2018,"Cape Verde",1
"Isurus spp.",NA,2018,"Chad",1
"Isurus spp.",NA,2018,"C̫te d'Ivoire",1
"Isurus spp.",NA,2018,"Dominican Republic",1
"Isurus spp.",NA,2018,"Egypt",1
"Isurus spp.",NA,2018,"European Union",1
"Isurus spp.",NA,2018,"Gabon",1
"Isurus spp.",NA,2018,"Gambia",1
"Isurus spp.",NA,2018,"Jordan",1
"Isurus spp.",NA,2018,"Lebanon",1
"Isurus spp.",NA,2018,"Liberia",1
"Isurus spp.",NA,2018,"Maldives",1
"Isurus spp.",NA,2018,"Mali",1
"Isurus spp.",NA,2018,"Mexico",1
"Isurus spp.",NA,2018,"Nepal",1
"Isurus spp.",NA,2018,"Niger",1
"Isurus spp.",NA,2018,"Nigeria",1
"Isurus spp.",NA,2018,"Palau",1
"Isurus spp.",NA,2018,"Samoa",1
"Isurus spp.",NA,2018,"Senegal",1
"Isurus spp.",NA,2018,"Sri Lanka",1
"Isurus spp.",NA,2018,"Sudan",1
"Isurus spp.",NA,2018,"Togo",1
