"Country","membership_status","Species.New","Year","value"
"EU","member","Carcharhinus falciformis","2014",1
"Marshall Islands ","member","Carcharhinus falciformis","2014",1
"Nauru ","member","Carcharhinus falciformis","2014",1
"New Zealand ","member","Carcharhinus falciformis","2014",1
"Niue ","member","Carcharhinus falciformis","2014",1
"Palau ","member","Carcharhinus falciformis","2014",1
"Papua New Guinea ","member","Carcharhinus falciformis","2014",1
"Cook Islands","member","Carcharhinus falciformis","2014",1
"Samoa ","member","Carcharhinus falciformis","2014",1
"Solomon Islands ","member","Carcharhinus falciformis","2014",1
"Australia ","member","Carcharhinus falciformis","2014",1
"Tonga","member","Carcharhinus falciformis","2014",1
"Tuvalu ","member","Carcharhinus falciformis","2014",1
"Kiribati ","member","Carcharhinus falciformis","2014",1
"Vanuatu ","member","Carcharhinus falciformis","2014",1
"Micronesia","member","Carcharhinus falciformis","2014",1
"Fiji ","member","Carcharhinus falciformis","2014",1
"USA","member","Mobula spp.","2017",1
"Japan","member","Mobula spp.","2017",0
"Korea","member","Mobula spp.","2017",0
"Chinese Taipei/Taiwan","member","Mobula spp.","2017",0
"Marshall Islands ","member","Mobula spp.","2017",1
"Nauru ","member","Mobula spp.","2017",1
"New Zealand ","member","Mobula spp.","2017",1
"Niue ","member","Mobula spp.","2017",1
"Palau ","member","Mobula spp.","2017",1
"Papua New Guinea ","member","Mobula spp.","2017",1
"Cook Islands","member","Mobula spp.","2017",1
"Samoa ","member","Mobula spp.","2017",1
"Solomon Islands ","member","Mobula spp.","2017",1
"Australia ","member","Mobula spp.","2017",1
"Tonga","member","Mobula spp.","2017",1
"Tuvalu ","member","Mobula spp.","2017",1
"Kiribati ","member","Mobula spp.","2017",1
"Vanuatu ","member","Mobula spp.","2017",1
"Micronesia","member","Mobula spp.","2017",1
"Fiji ","member","Mobula spp.","2017",1
"China","member","Mobula spp.","2020",0
"EU","member","Mobula spp.","2020",1
"Indonesia","member","Mobula spp.","2020",1
"Japan","member","Mobula spp.","2020",0
"Korea","member","Mobula spp.","2020",1
"New Caledonia","participating territory","Mobula spp.","2020",1
"Marshall Islands ","member","Mobula spp.","2020",1
"Nauru ","member","Mobula spp.","2020",1
"New Zealand ","member","Mobula spp.","2020",1
"Niue ","member","Mobula spp.","2020",1
"Palau ","member","Mobula spp.","2020",1
"Papua New Guinea ","member","Mobula spp.","2020",1
"Cook Islands","member","Mobula spp.","2020",1
"Samoa ","member","Mobula spp.","2020",1
"Solomon Islands ","member","Mobula spp.","2020",1
"Australia ","member","Mobula spp.","2020",1
"Tonga","member","Mobula spp.","2020",1
"Tuvalu ","member","Mobula spp.","2020",1
"Kiribati ","member","Mobula spp.","2020",1
"Vanuatu ","member","Mobula spp.","2020",1
"Micronesia","member","Mobula spp.","2020",1
"Fiji ","member","Mobula spp.","2020",1
"Japan","member","Rhincodon typus","2010",0
"Marshall Islands ","member","Rhincodon typus","2010",1
"Nauru ","member","Rhincodon typus","2010",1
"New Zealand ","member","Rhincodon typus","2010",1
"Niue ","member","Rhincodon typus","2010",1
"Palau ","member","Rhincodon typus","2010",1
"Papua New Guinea ","member","Rhincodon typus","2010",1
"Cook Islands","member","Rhincodon typus","2010",1
"Samoa ","member","Rhincodon typus","2010",1
"Solomon Islands ","member","Rhincodon typus","2010",1
"Australia ","member","Rhincodon typus","2010",1
"Tonga","member","Rhincodon typus","2010",1
"Tuvalu ","member","Rhincodon typus","2010",1
"Kiribati ","member","Rhincodon typus","2010",1
"Vanuatu ","member","Rhincodon typus","2010",1
"Micronesia","member","Rhincodon typus","2010",1
"Fiji ","member","Rhincodon typus","2010",1
"USA","member","Rhincodon typus","2012",1
"Japan","member","Rhincodon typus","2012",0
"Mexico","cooperating non-contracting party","Rhincodon typus","2012",1
"French Polynesia","participating territory","Rhincodon typus","2012",1
"Chinese Taipei/Taiwan","member","Rhincodon typus","2012",1
"Marshall Islands ","member","Rhincodon typus","2012",1
"Nauru ","member","Rhincodon typus","2012",1
"New Zealand ","member","Rhincodon typus","2012",1
"Niue ","member","Rhincodon typus","2012",1
"Palau ","member","Rhincodon typus","2012",1
"Papua New Guinea ","member","Rhincodon typus","2012",1
"Cook Islands","member","Rhincodon typus","2012",1
"Samoa ","member","Rhincodon typus","2012",1
"Solomon Islands ","member","Rhincodon typus","2012",1
"Australia ","member","Rhincodon typus","2012",1
"Tonga","member","Rhincodon typus","2012",1
"Tuvalu ","member","Rhincodon typus","2012",1
"Kiribati ","member","Rhincodon typus","2012",1
"Vanuatu ","member","Rhincodon typus","2012",1
"Micronesia","member","Rhincodon typus","2012",1
"Fiji ","member","Rhincodon typus","2012",1
"Marshall Islands ","member","Rhincodon typus","2013",1
"Nauru ","member","Rhincodon typus","2013",1
"New Zealand ","member","Rhincodon typus","2013",1
"Niue ","member","Rhincodon typus","2013",1
"Palau ","member","Rhincodon typus","2013",1
"Papua New Guinea ","member","Rhincodon typus","2013",1
"Cook Islands","member","Rhincodon typus","2013",1
"Samoa ","member","Rhincodon typus","2013",1
"Solomon Islands ","member","Rhincodon typus","2013",1
"Australia ","member","Rhincodon typus","2013",1
"Tonga","member","Rhincodon typus","2013",1
"Tuvalu ","member","Rhincodon typus","2013",1
"Kiribati ","member","Rhincodon typus","2013",1
"Vanuatu ","member","Rhincodon typus","2013",1
"Micronesia","member","Rhincodon typus","2013",1
"Fiji ","member","Rhincodon typus","2013",1
"USA","member","Carcharhinus longimanus","2012",1
"EU","member","Carcharhinus longimanus","2012",1
"Marshall Islands ","member","Carcharhinus longimanus","2012",1
"Nauru ","member","Carcharhinus longimanus","2012",1
"New Zealand ","member","Carcharhinus longimanus","2012",1
"Niue ","member","Carcharhinus longimanus","2012",1
"Palau ","member","Carcharhinus longimanus","2012",1
"Papua New Guinea ","member","Carcharhinus longimanus","2012",1
"Cook Islands","member","Carcharhinus longimanus","2012",1
"Samoa ","member","Carcharhinus longimanus","2012",1
"Solomon Islands ","member","Carcharhinus longimanus","2012",1
"Australia ","member","Carcharhinus longimanus","2012",1
"Tonga","member","Carcharhinus longimanus","2012",1
"Tuvalu ","member","Carcharhinus longimanus","2012",1
"Kiribati ","member","Carcharhinus longimanus","2012",1
"Vanuatu ","member","Carcharhinus longimanus","2012",1
"Micronesia","member","Carcharhinus longimanus","2012",1
"Fiji ","member","Carcharhinus longimanus","2012",1
